Title,Geographic,Industry,Profession,Ticker,Keyword,Competitor Ticker,Competitor Keyword,Broadcast Keyword,Finance Keyword,Bing Keyword,Blog Keyword,Twitter
US AIRWAYS ,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",NYSE:LCC,"NYSE:LCC,""US AIRWAYS ""","EPA:AF,NASDAQ:JBLU,LON:EZJ,ASX:QAN,NYSE:ALK","AIRF.PA,$JBLU,EZJ.L,QAN.AX,$ALK",US AIRWAYS ,NYSE:LCC,"NYSE:LCC,US AIRWAYS ","NYSE:LCC,US AIRWAYS ",$LCC
JET AIRWAYS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",NSE:JETAIRWAYS,"NSE:JETAIRWAYS,""JET AIRWAYS""","NYSE:UAL,NYSE:DAL,BOM:500285,HKG:0293,TPE:2618","$UAL,$DAL,SPJT.BO,0293.HK,2618.TW",JET AIRWAYS,NSE:JETAIRWAYS,"NSE:JETAIRWAYS,JET AIRWAYS","NSE:JETAIRWAYS,JET AIRWAYS",JET.NS
JETBLUE AIRWAYS,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",NASDAQ:JBLU,"NASDAQ:JBLU,""JETBLUE AIRWAYS""","NASDAQ:SKYW,NZE:AIR,EPA:AF,LON:EZJ,ASX:QAN","$SKYW,AIR.NZ,AIRF.PA,EZJ.L,QAN.AX",JETBLUE AIRWAYS,NASDAQ:JBLU,"NASDAQ:JBLU,JETBLUE AIRWAYS","NASDAQ:JBLU,JETBLUE AIRWAYS",$JBLU
ALASKA AIR ,United States,Financials,"Asset Management,Debt,Equities,Investment Banking",NYSE:ALK,"NYSE:ALK,""ALASKA AIR ""","NASDAQ:JBLU,LON:EZJ,ASX:QAN,NYSE:LUV,NYSE:UAL","$JBLU,EZJ.L,QAN.AX,$LUV,$UAL",ALASKA AIR ,NYSE:ALK,"NYSE:ALK,ALASKA AIR ","NYSE:ALK,ALASKA AIR ",$ALK
SKYWEST,United States,Financials,"Asset Management,Debt,Equities,Investment Banking",NASDAQ:SKYW,"NASDAQ:SKYW,""SKYWEST""","NZE:AIR,EPA:AF,NASDAQ:JBLU","AIR.NZ,AIRF.PA,$JBLU",SKYWEST,NASDAQ:SKYW,"NASDAQ:SKYW,SKYWEST","NASDAQ:SKYW,SKYWEST",$SKYW
EASYJET,United Kingdom,Financials,"Asset Management,Debt,Equities,Investment Banking",LON:EZJ,"LON:EZJ,""EASYJET""","EPA:AF,NASDAQ:JBLU,ASX:QAN,NYSE:ALK,NYSE:LUV","AIRF.PA,$JBLU,QAN.AX,$ALK,$LUV",EASYJET,LON:EZJ,"LON:EZJ,EASYJET","LON:EZJ,EASYJET",EZJ.L
ALL NIPPON AIRWAYS ,Japan,Financials,"Asset Management,Debt,Equities,Investment Banking",TYO:9202,"TYO:9202,""ALL NIPPON AIRWAYS ""","NASDAQ:SKYW,NZE:AIR,EPA:AF","$SKYW,AIR.NZ,AIRF.PA",ALL NIPPON AIRWAYS ,TYO:9202,"TYO:9202,ALL NIPPON AIRWAYS ","TYO:9202,ALL NIPPON AIRWAYS ",9202.T
TRUSTPOWER,New Zealand,Health Care,"Asset Management,Debt,Equities,Investment Banking",NZE:TPW,"NZE:TPW,""TRUSTPOWER""","HKG:0182,TSE:NPI,ELI:EDPR,NZE:CEN,NSE:BFUTILITIE","0182.HK,NPI.TO,EDPR.LS,CEN.NZ,BFUT.NS",TRUSTPOWER,NZE:TPW,"NZE:TPW,TRUSTPOWER","NZE:TPW,TRUSTPOWER",TPW.NZ
EDP,Portugal,Health Care,"Asset Management,Debt,Equities,Investment Banking",ELI:EDP,"ELI:EDP,""EDP""","NZE:TPW,ELI:EDPR,NZE:CEN,NSE:BFUTILITIE,NSE:IBPOW","TPW.NZ,EDPR.LS,CEN.NZ,BFUT.NS,INDP.NS",EDP,ELI:EDP,"ELI:EDP,EDP","ELI:EDP,EDP",EDP.LS
EDP RENOVAVEIS,Portugal,Industrials,"Asset Management,Debt,Equities,Investment Banking",ELI:EDPR,"ELI:EDPR,""EDP RENOVAVEIS""","HKG:0182,TSE:NPI,NZE:TPW,NZE:CEN,NSE:BFUTILITIE","0182.HK,NPI.TO,TPW.NZ,CEN.NZ,BFUT.NS",EDP RENOVAVEIS,ELI:EDPR,"ELI:EDPR,EDP RENOVAVEIS","ELI:EDPR,EDP RENOVAVEIS",EDPR.LS
CONTACT ENERGY,New Zealand,Industrials,"Asset Management,Debt,Equities,Investment Banking",NZE:CEN,"NZE:CEN,""CONTACT ENERGY""","TSE:NPI,NZE:TPW,ELI:EDPR,NSE:BFUTILITIE,NSE:IBPOW","NPI.TO,TPW.NZ,EDPR.LS,BFUT.NS,INDP.NS",CONTACT ENERGY,NZE:CEN,"NZE:CEN,CONTACT ENERGY","NZE:CEN,CONTACT ENERGY",CEN.NZ
BF UTILITIES,India,Industrials,"Asset Management,Debt,Equities,Investment Banking",NSE:BFUTILITIE,"NSE:BFUTILITIE,""BF UTILITIES""","NZE:TPW,ELI:EDPR,NZE:CEN,NSE:IBPOW,NSE:JSWENERGY","TPW.NZ,EDPR.LS,CEN.NZ,INDP.NS,JSWE.NS",BF UTILITIES,NSE:BFUTILITIE,"NSE:BFUTILITIE,BF UTILITIES","NSE:BFUTILITIE,BF UTILITIES",BFUT.NS
CHINA SUNTIEN GREEN ENERGY,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking",HKG:0956,"HKG:0956,""CHINA SUNTIEN GREEN ENERGY""","NZE:TPW,ELI:EDPR,NZE:CEN,NSE:BFUTILITIE,NSE:IBPOW","TPW.NZ,EDPR.LS,CEN.NZ,BFUT.NS,INDP.NS",CHINA SUNTIEN GREEN ENERGY,HKG:0956,"HKG:0956,CHINA SUNTIEN GREEN ENERGY","HKG:0956,CHINA SUNTIEN GREEN ENERGY",0956.HK
CHINA WINDPOWER ,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking",HKG:0182,"HKG:0182,""CHINA WINDPOWER ""","TSE:NPI,NZE:TPW,ELI:EDPR","NPI.TO,TPW.NZ,EDPR.LS",CHINA WINDPOWER ,HKG:0182,"HKG:0182,CHINA WINDPOWER ","HKG:0182,CHINA WINDPOWER ",0182.HK
NHPC,India,Industrials,"Asset Management,Debt,Equities,Investment Banking",NSE:NHPC,"NSE:NHPC,""NHPC""","NSE:BFUTILITIE,NSE:IBPOW,NSE:JSWENERGY","BFUT.NS,INDP.NS,JSWE.NS",NHPC,NSE:NHPC,"NSE:NHPC,NHPC","NSE:NHPC,NHPC",NHPC.NS
ENEL GREEN POWER,Italy,Industrials,"Asset Management,Debt,Equities,Investment Banking",BIT:EGPW,"BIT:EGPW,""ENEL GREEN POWER""","NZE:TPW,ELI:EDPR,NZE:CEN,NSE:BFUTILITIE,NSE:IBPOW","TPW.NZ,EDPR.LS,CEN.NZ,BFUT.NS,INDP.NS",ENEL GREEN POWER,BIT:EGPW,"BIT:EGPW,ENEL GREEN POWER","BIT:EGPW,ENEL GREEN POWER",EGPW.MI
SJVN,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",NSE:SJVN,"NSE:SJVN,""SJVN""","NSE:BFUTILITIE,NSE:IBPOW,NSE:JSWENERGY,NSE:NHPC","BFUT.NS,INDP.NS,JSWE.NS,NHPC.NS",SJVN,NSE:SJVN,"NSE:SJVN,SJVN","NSE:SJVN,SJVN",SJVN.NS
JAIPRAKASH POWER VENTURES,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",NSE:JPPOWER,"NSE:JPPOWER,""JAIPRAKASH POWER VENTURES""","NSE:BFUTILITIE,NSE:IBPOW,NSE:JSWENERGY,NSE:NHPC","BFUT.NS,INDP.NS,JSWE.NS,NHPC.NS",JAIPRAKASH POWER VENTURES,NSE:JPPOWER,"NSE:JPPOWER,JAIPRAKASH POWER VENTURES","NSE:JPPOWER,JAIPRAKASH POWER VENTURES",JAPR.NS
INDIABULLS POWER,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",NSE:IBPOW,"NSE:IBPOW,""INDIABULLS POWER""","ELI:EDPR,NZE:CEN,NSE:BFUTILITIE,NSE:JSWENERGY,NSE:NHPC","EDPR.LS,CEN.NZ,BFUT.NS,JSWE.NS,NHPC.NS",INDIABULLS POWER,NSE:IBPOW,"NSE:IBPOW,INDIABULLS POWER","NSE:IBPOW,INDIABULLS POWER",INDP.NS
NORTHLAND POWER,Canada,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking",TSE:NPI,"TSE:NPI,""NORTHLAND POWER""","HKG:0182,NZE:TPW,ELI:EDPR,NZE:CEN","0182.HK,TPW.NZ,EDPR.LS,CEN.NZ",NORTHLAND POWER,TSE:NPI,"TSE:NPI,NORTHLAND POWER","TSE:NPI,NORTHLAND POWER",NPI.TO
